date	close	average	avup	avdo
8/16/13	14.61	14.66	15.22	14.11
8/15/13	14.63	14.66	15.22	14.11
8/14/13	14.78	14.66	15.22	14.11
8/13/13	14.83	14.66	15.22	14.11
8/12/13	14.89	14.66	15.22	14.11
8/9/13	15.01	14.66	15.22	14.11
8/8/13	15.02	14.66	15.22	14.11
8/7/13	15	14.66	15.22	14.11
8/6/13	15.08	14.66	15.22	14.11
8/5/13	15.05	14.66	15.22	14.11
8/2/13	15.03	14.66	15.22	14.11
8/1/13	15.15	14.66	15.22	14.11
7/31/13	14.98	14.66	15.22	14.11
7/30/13	15.06	14.66	15.22	14.11
7/29/13	15.05	14.66	15.22	14.11
7/26/13	15.18	14.66	15.22	14.11
7/25/13	15.25	14.66	15.22	14.11
7/24/13	15.25	14.66	15.22	14.11
7/23/13	15.29	14.66	15.22	14.11
7/22/13	15.25	14.66	15.22	14.11
7/19/13	15.33	14.66	15.22	14.11
7/18/13	15.24	14.66	15.22	14.11
7/17/13	15.25	14.66	15.22	14.11
7/16/13	15.03	14.66	15.22	14.11
7/15/13	15.31	14.66	15.22	14.11
7/12/13	15.31	14.66	15.22	14.11
7/11/13	15.31	14.66	15.22	14.11
7/10/13	15.19	14.66	15.22	14.11
7/9/13	15.24	14.66	15.22	14.11
7/8/13	15.14	14.66	15.22	14.11
7/5/13	15.13	14.66	15.22	14.11
7/3/13	15.12	14.66	15.22	14.11
7/2/13	15.08	14.66	15.22	14.11
7/1/13	15.11	14.66	15.22	14.11
6/28/13	14.9	14.66	15.22	14.11
6/27/13	14.95	14.66	15.22	14.11
6/26/13	14.98	14.66	15.22	14.11
6/25/13	14.76	14.66	15.22	14.11
6/24/13	14.7	14.66	15.22	14.11
6/21/13	14.78	14.66	15.22	14.11
6/20/13	14.56	14.66	15.22	14.11
6/19/13	15.01	14.66	15.22	14.11
6/18/13	15.19	14.66	15.22	14.11
6/17/13	15.1	14.66	15.22	14.11
6/14/13	14.98	14.66	15.22	14.11
6/13/13	15.01	14.66	15.22	14.11
6/12/13	15	14.66	15.22	14.11
6/11/13	15.14	14.66	15.22	14.11
6/10/13	15.28	14.66	15.22	14.11
6/7/13	15.36	14.66	15.22	14.11
6/6/13	15.14	14.66	15.22	14.11
6/5/13	15.09	14.66	15.22	14.11
6/4/13	15.36	14.66	15.22	14.11
6/3/13	15.15	14.66	15.22	14.11
5/31/13	14.86	14.66	15.22	14.11
5/30/13	15.13	14.66	15.22	14.11
5/29/13	15.35	14.66	15.22	14.11
5/28/13	15.76	14.66	15.22	14.11
5/24/13	15.65	14.66	15.22	14.11
5/23/13	15.54	14.66	15.22	14.11
5/22/13	15.65	14.66	15.22	14.11
5/21/13	15.68	14.66	15.22	14.11
5/20/13	15.7	14.66	15.22	14.11
5/17/13	15.91	14.66	15.22	14.11
5/16/13	15.95	14.66	15.22	14.11
5/15/13	15.89	14.66	15.22	14.11
5/14/13	15.75	14.66	15.22	14.11
5/13/13	15.63	14.66	15.22	14.11
5/10/13	15.62	14.66	15.22	14.11
5/9/13	15.61	14.66	15.22	14.11
5/8/13	15.73	14.66	15.22	14.11
5/7/13	15.81	14.66	15.22	14.11
5/6/13	15.59	14.66	15.22	14.11
5/3/13	15.65	14.66	15.22	14.11
5/2/13	15.55	14.66	15.22	14.11
5/1/13	15.64	14.66	15.22	14.11
4/30/13	15.68	14.66	15.22	14.11
4/29/13	15.65	14.66	15.22	14.11
4/26/13	15.6	14.66	15.22	14.11
4/25/13	15.69	14.66	15.22	14.11
4/24/13	15.62	14.66	15.22	14.11
4/23/13	15.81	14.66	15.22	14.11
4/22/13	15.82	14.66	15.22	14.11
4/19/13	15.8	14.66	15.22	14.11
4/18/13	15.6	14.66	15.22	14.11
4/17/13	15.76	14.66	15.22	14.11
4/16/13	15.69	14.66	15.22	14.11
4/15/13	14.89	14.66	15.22	14.11
4/12/13	15.24	14.66	15.22	14.11
4/11/13	15.28	14.66	15.22	14.11
4/10/13	15.24	14.66	15.22	14.11
4/9/13	15.11	14.66	15.22	14.11
4/8/13	15.16	14.66	15.22	14.11
4/5/13	14.89	14.66	15.22	14.11
4/4/13	15.05	14.66	15.22	14.11
4/3/13	14.92	14.66	15.22	14.11
4/2/13	15.12	14.66	15.22	14.11
4/1/13	15.02	14.66	15.22	14.11
3/28/13	15.08	14.66	15.22	14.11
3/27/13	15	14.66	15.22	14.11
3/26/13	15.17	14.66	15.22	14.11
3/25/13	14.97	14.66	15.22	14.11
3/22/13	14.94	14.66	15.22	14.11
3/21/13	14.95	14.66	15.22	14.11
3/20/13	14.88	14.66	15.22	14.11
3/19/13	14.69	14.66	15.22	14.11
3/18/13	14.49	14.66	15.22	14.11
3/15/13	14.51	14.66	15.22	14.11
3/14/13	14.58	14.66	15.22	14.11
3/13/13	14.43	14.66	15.22	14.11
